Student,Email,IP1 /31,IP2 /22, IP3 /22,IP4 /28,Attendance,First recommendation,reason (first recommendation),Final recommendation,reason (final recommendation)
"Schuyler,Shawdforth",sshawdforth0@ask.com,29,17,19,27,100%,Yes,,Yes,
"Any,Gillon",agillon1@nationalgeographic.com,31,18,17,24,94%,Yes,,Yes,
"Minni,Tattersdill",mtattersdill2@ibm.com,30,13,20,20,94%,Yes,,Yes,
"Carey,Locker",clocker3@chron.com,29,20,20,25,100%,Yes,,Yes,
"Leland,Clohessy",lclohessy4@ow.ly,23,16,17,23,98%,Yes,,Yes,
"Brnaby,Clitheroe",bclitheroe5@live.com,23,19,15,18,99%,No,IP quality and completion,No,IP quality and completion
"Mannie,NuzztiM",mnuzzti6@github.io,16,14,16,20,99%,No,IP quality and completion,No,IP quality and completion
"Renato,Deverille",rdeverille7@canalblog.com,21,14,14,16,100%,No,IP quality and completion,No,IP quality and completion
"Muffin,Lambkin",mlambkin8@jigsy.com,23,13,14,16,94%,No,IP quality and completion,No,IP quality and completion
"Celka,Wellbelove",cwellbelove9@time.com,27,12,15,21,100%,No,IP quality and completion,No,IP quality and completion
Kamana ella,kami112@gm.com,20,17,18,10,70%,No,absents,No,attendence is too low
gwiza nowa,gwimo43@gmail.com,,,,,,,,,
